22	FALSE	FALSE	FALSE		+0,6%	Axi ivan	Venta	EURUSD	Calma	Cerrado Manualmente	Hard Scalping (https://www.FALSEtion.so/Hard-Scalping-245a0b39a56780c1b70cec31e9727a2e?pvs=21)	13/08/2025	🟢 Ganador	London
23	FALSE	FALSE	FALSE	https://www.tradingview.com/x/ALnPsGvf/	Entre pensando que había terminado el impulso de ondas perro realmente faltaba la 5a onda a la baja. Cuando e di cuenta sali en -0,7%	FundingPips	Compra	EURUSD	Calma, Descepcion	Cerrado Manualmente	ELLIOT (https://www.FALSEtion.so/ELLIOT-247a0b39a56780a9935bcd5bd944be2b?pvs=21)	14/08/2025	🔴 Perdedor	New York
24	FALSE	FALSE	FALSE		He podido gestionar y salir en BE, me equivoque en la dirección.	Axi ivan	Compra	EURUSD	Calma	Cerrado Manualmente	Hard Scalping (https://www.FALSEtion.so/Hard-Scalping-245a0b39a56780c1b70cec31e9727a2e?pvs=21)	14/08/2025	🟡 Breakeven	London
25	FALSE	FALSE	FALSE	https://www.tradingview.com/x/hbrTNxGS/	Me equivoque en la dirección. Pense que estaba haciendo una onda 2 plana. Y encima había FALSEticia.	WSFunded 1	Compra	EURUSD	Descepcion	Cerrado por S/L	ELLIOT (https://www.FALSEtion.so/ELLIOT-247a0b39a56780a9935bcd5bd944be2b?pvs=21)	14/08/2025	🔴 Perdedor	New York
26	FALSE	FALSE	FALSE	https://www.tradingview.com/x/WrIdX1Tt/	78% fibbo, saca liquidez de un obc bajista, cambia de estructura en 5m	FundingPips, WSFunded 2	Venta	EURUSD	Descepcion	Cerrado por S/L	JovenTraderFx (https://www.FALSEtion.so/JovenTraderFx-242a0b39a567801f9606fa1507b26fe0?pvs=21)	15/08/2025	🔴 Perdedor	New York
27	FALSE	FALSE	FALSE		+0,9%	Axi ivan	Venta	EURUSD	Calma, Confianza	Cerrado Manualmente	Hard Scalping (https://www.FALSEtion.so/Hard-Scalping-245a0b39a56780c1b70cec31e9727a2e?pvs=21)	18/08/2025	🟢 Ganador	London
28	TRUE	TRUE	FALSE	https://www.tradingview.com/x/MKFwI1e1/	+1% en FundingPips y +3% en WSFunded	FundingPips, WSFunded 1	Venta	EURUSD	Calma, Confianza	Cerrado Manualmente	ELLIOT (https://www.FALSEtion.so/ELLIOT-247a0b39a56780a9935bcd5bd944be2b?pvs=21)	19/08/2025	🟢 Ganador	New York
29	FALSE	FALSE	FALSE		+0,45%	Axi ivan	Venta	EURUSD	Calma, Confianza	Cerrado Manualmente	Hard Scalping (https://www.FALSEtion.so/Hard-Scalping-245a0b39a56780c1b70cec31e9727a2e?pvs=21)	19/08/2025	🟢 Ganador	London
30	FALSE	FALSE	FALSE	https://www.tradingview.com/x/2HS8Pizt/	-1% fp; -2% WSF; Todavía FALSE se habían completado las 5 ondas para estar seguro de que seguiría subiendo.	WSFunded 1, FundingPips	Venta	AUDUSD	Calma	Cerrado por S/L	TRADING LAB (https://www.FALSEtion.so/TRADING-LAB-255a0b39a56780b5ad62f187cca6eb1a?pvs=21)	20/08/2025	🔴 Perdedor	New York
31	FALSE	FALSE	FALSE		+0,3%	Axi ivan	Compra	EURUSD	Calma	Cerrado Manualmente	Hard Scalping (https://www.FALSEtion.so/Hard-Scalping-245a0b39a56780c1b70cec31e9727a2e?pvs=21)	20/08/2025	🟢 Ganador	London
